Epoch,Total Accuracy,Accuracy for rows,Accuracy for 1's
0,0.8924458622932434,0.001893939393939394,0.06926009121230685
1,0.9364156126976013,0.024350649350649352,0.00765774964263835
2,0.9364156126976013,0.028409090909090908,0.010244367299707303
3,0.9385627508163452,0.19036796536796538,0.11364100469675312
4,0.939186155796051,0.15054112554112553,0.08777482812606358
5,0.9406017065048218,0.2011904761904762,0.1195289633108706
6,0.9413571357727051,0.21033549783549785,0.12511061193928255
7,0.9414458870887756,0.2411796536796537,0.1449867265672861
8,0.9419372081756592,0.24821428571428572,0.1492410319243074
9,0.9417077898979187,0.2729978354978355,0.16530528895241986
10,0.9425411224365234,0.2652056277056277,0.1602001225239943
11,0.9433853030204773,0.21607142857142858,0.12854809066775577
12,0.9429047703742981,0.26082251082251084,0.1573071948812198
13,0.9428917765617371,0.26455627705627704,0.15979170920972025
14,0.9433788061141968,0.23474025974025975,0.14114083452453882
15,0.9434372186660767,0.2457792207792208,0.14747124089578653
16,0.9435281157493591,0.2313852813852814,0.13831597576747667
17,0.9435562491416931,0.21920995670995672,0.13055612279626982
18,0.9435735940933228,0.2492965367965368,0.15009189299571166
19,0.9434848427772522,0.2573051948051948,0.15468654278129468
